"","x"
"208",3.65253547286337
"209",3.47765668763842
"210",3.72992580834013
"211",3.99715853311562
"212",3.86183367409696
"213",3.77733923590062
"214",3.71249619102674
"215",3.83735440662391
"216",3.8398589745896
"217",3.75788295092093
"218",3.53456720253772
"219",3.56214155710935
"220",3.58691181355133
"221",3.49129523177532
"222",3.47076671984492
"223",3.53262917140486
"224",3.56364447155034
"225",3.48050509714356
"226",3.39665789542065
"227",3.35704888646752
"228",3.34664898303877
"229",3.44286281853283
"230",3.40201334731924
"231",3.38697551640021
"232",3.40100196042785
"233",3.51798771619634
"234",3.50714730099578
"235",3.51194942078182
"236",4.68468637917264
"237",4.67549431555601
"238",4.75763659056546
"239",4.73444394526439
"240",4.38395557761306
"241",3.03127115559211
"242",4.17745203084871
"243",3.02363854445009
"244",3.30709479499651
"245",3.37287124380501
"246",3.21435875971919
"247",3.0101737792464
"248",4.3575008106236
"249",3.74320614705004
"250",3.78826376223558
"251",3.75435765550188
"252",3.71525504117849
"253",3.62452385813145
"254",3.47078621409647
"255",3.42189290475912
"256",3.4585389691232
"257",3.52999948818156
"258",3.55126528369398
"259",3.56186780574907
"260",3.61125141918806
"261",3.62950417877383
"262",3.46760382183065
"263",3.23889390409592
"264",3.26709052427241
"265",3.47644787118354
"266",3.64840488611845
"267",3.65607534235192
"268",3.75431527261373
"269",3.62745175153364
"270",3.58850141548426
"271",3.63903568457216
"272",3.55820231147216
"273",3.5454855442664
"274",3.50175970547404
"275",3.61602156060971
"276",3.4491011357764
"277",3.25260271256181
"278",3.22804375204095
"279",3.25394491136532
"280",3.2263244384435
"281",3.2501547958862
"282",3.10819658096217
"283",4.0704076820944
"284",2.93126545322066
"285",2.98695097884111
"286",3.1228994198981
"287",2.87882687181191
"288",2.96192388818983
"289",2.90369837127497
"290",3.51034883988947
"291",3.61650203921128
"292",3.80633066115739
"293",3.23893143535499
"294",3.20233077344926
"295",3.23049356490546
"296",3.14241647075761
"297",3.15883133952484
"298",3.41301143829917
"299",4.05897738818302
"300",4.07612121020365
"301",4.04096069714784
"302",4.01789817661938
"303",3.99537436731102
"304",3.98244250236607
"305",4.03681548004473
"306",4.11980687732389
"307",4.13291421553474
"308",4.15612334769925
"309",4.19401018797843
"310",4.22008069004848
"311",4.27788312026528
"312",4.28322913280113
"313",3.60002898834918
"314",3.49937062089418
"315",3.56283068263701
"316",3.70117379538917
"317",4.38400559305056
"318",4.39824818672339
"319",4.34985702215352
"320",4.39375508355036
"321",4.40938065990758
"322",4.33264340137763
"323",3.83970178299343
"324",3.57254817909604
"325",3.4883364476457
"326",3.72978743860141
"327",4.63596157559647
"328",4.66581804236188
"329",4.59541670084742
"330",4.49237883764013
"331",4.41282296790736
"332",4.59746040499847
"333",4.63766944689153
"334",4.583922409205
"335",4.59209366958766
"336",4.67455346251648
"337",4.68861188433617
"338",4.64335116861665
"339",4.64847606982873
"340",4.67428292566828
"341",4.67806150452973
"342",4.68982273568444
"343",4.69844297578915
"344",4.83754824700051
"345",4.85315328570896
"346",4.88458377395612
"347",4.85945195988469
"348",4.84755540346911
"349",4.90556472438713
"350",4.88437855274208
"351",4.81165599725652
"352",4.73156565994492
"353",4.65052081774533
"354",4.59661622860583
"355",4.4894628454041
"356",4.32158681502557
"357",4.31935208134472
"358",4.46024361838468
"359",4.52726683156494
"360",4.69664009273445
"361",4.64855698902602
"362",4.33850571268329
"363",4.30878262504822
"364",4.35504836521964
"365",4.33545670879601
"366",4.22199336770304
"367",4.30692947226306
"368",4.31853559764189
"369",4.30185483508892
"370",4.26790280397732
"371",4.20252909507952
"372",4.2086870966209
"373",4.17691093763475
"374",4.318002347565
"375",4.52304820511623
"376",4.56884813119231
"377",3.91833976630798
"378",3.85036311183386
"379",4.43635892822538
"380",3.85671262111263
"381",3.73801642957958
"382",3.69082951192382
"383",3.82534894121264
"384",3.86206506656595
"385",3.76890075746274
"386",3.71242799056597
"387",3.76347257214691
"388",3.79031646705999
"389",3.60835771227359
"390",3.79465370163661
"391",3.88489209706218
"392",3.87549566400742
"393",3.80177074622921
"394",3.67633379148226
"395",3.8412146328684
"396",3.83241603442091
"397",3.7057730346702
"398",3.60973215905053
"399",3.66927818921435
"400",3.79788350286123
"401",3.7201454639696
"402",3.63362220073035
"403",3.52554290186265
"404",3.44516496979463
"405",3.45897824241677
"406",3.47674591151765
"407",3.42474535417605
"408",3.45580659420237
"409",3.48411792127763
"410",3.56434807207623
"411",3.40045316371417
"412",3.2421950209972
"413",3.23687027423902
"414",3.35477428329702
"415",3.32668894248277
"416",3.13444637007279
"417",3.05269071818325
"418",4.41774831001215
"419",4.53378618928587
"420",4.52808741145039
"421",3.05129650169871
"422",4.25777432430804
"423",2.92015209951781
"424",3.10469439631178
"425",4.61341120645601
"426",4.70669488827284
"427",3.39257321332043
"428",4.44813643648665
"429",4.47909944258076
"430",3.82677855298865
"431",3.69572677960137
"432",3.52308088944499
"433",3.53754636222794
"434",3.58195660740808
"435",3.45397047226416
"436",3.539306323938
"437",3.62800810287701
"438",3.84958754730192
"439",3.83726078918569
"440",3.8036137346948
"441",3.81986056278012
"442",3.80376211252595
"443",3.61462339204586
"444",3.30553282486171
"445",3.29614127627061
"446",3.52048062590476
"447",3.78117350577391
"448",3.80437587437874
"449",3.76042190689031
"450",3.71899048007248
"451",3.65986632769057
"452",3.65847858348111
"453",3.70691906263789
"454",3.70673812306843
"455",3.72695688439246
"456",3.83490252724121
"457",3.54412802562882
"458",3.28558566583741
"459",3.39201384576338
"460",3.4180735222096
"461",3.3091526111493
"462",3.29821179127652
"463",3.23136717929132
"464",2.94704435750405
"465",2.92375324986445
"466",2.95996335128262
"467",3.02985606604877
"468",3.08797622682183
"469",3.11481017947767
"470",3.04699888825142
"471",3.47128839172958
"472",3.51344574461206
"473",3.52546500796108
"474",3.60451306631479
"475",3.73729457105717
"476",3.81729139706972
"477",3.86233555093436
"478",3.84784378733543
"479",3.2327482517324
"480",3.10263130344936
"481",3.09609233817641
"482",3.20614357105118
"483",3.39118381096637
"484",3.51838049682515
"485",3.5697538184878
"486",4.10961805427972
"487",4.06927067120772
"488",4.04022253128503
"489",4.1029255146427
"490",4.12793950205088
"491",4.12319944960134
"492",4.1087351910709
"493",4.14730109258675
"494",4.20027312415568
"495",4.21915346585316
"496",3.66385817371426
"497",4.29760772497864
"498",4.3315663209583
"499",3.63839117639001
"500",3.54989023369701
"501",3.66870749245295
"502",3.78610640308349
"503",3.87775126261921
"504",4.44409965237424
"505",3.87334178793757
"506",3.83806980758931
"507",4.30233701716875
"508",3.70135529624585
"509",3.78750338877624
"510",3.74830861871119
"511",3.52914925221602
"512",3.54071174705929
"513",3.74240934170308
"514",3.96093566353583
"515",4.6650655367821
"516",4.66992524944076
"517",4.63848474093962
"518",4.65801523210042
"519",4.69094951934018
"520",4.71204702509226
"521",4.71278565267262
"522",4.69890378695904
"523",4.66531942796886
"524",4.69617345402772
"525",4.69328350401784
"526",4.71930209127901
"527",4.78390903058353
"528",4.78118913287533
"529",4.84873535797777
"530",4.91679832351532
"531",4.86677361354655
"532",4.88331505006866
"533",4.92839457568135
"534",4.9237041850643
"535",4.94511562330119
"536",4.95276868975631
"537",4.80680514040453
"538",4.59559749818288
"539",4.47597477515346
"540",4.42347556396509
"541",4.4195946977746
"542",4.43467891271064
"543",4.50610765315878
"544",4.53985964397719
"545",4.54056462312898
"546",4.56574139812269
"547",4.59942074477946
"548",4.77536142790842
"549",4.68746991784985
"550",4.42859233677616
"551",4.16561863114596
"552",4.15344559117338
"553",4.27285977705196
"554",4.24548998678994
"555",4.24552278718882
"556",4.30405679840138
